iter	RMSE
0	0.3975944338
1	0.39554842
2	0.3935564792
3	0.391656348
4	0.3898888506
5	0.3880596742
6	0.3862985509
7	0.3844847757
8	0.3827236068
9	0.3808917435
10	0.3790104181
11	0.3771819608
12	0.3753707338
13	0.3735630464
14	0.3717110393
15	0.3699553118
16	0.368302895
17	0.3666416829
18	0.3648917293
19	0.3632090917
20	0.3615408644
21	0.35989769
22	0.3582718292
23	0.3566822342
24	0.3549281194
25	0.3532932636
26	0.3517624685
27	0.3501311541
28	0.3485116186
29	0.3468768223
30	0.3452744188
31	0.3436181165
32	0.3420651872
33	0.3404691583
34	0.3389047561
35	0.3372932685
36	0.3358264441
37	0.334310619
38	0.33275416
39	0.3311990387
40	0.3297719448
41	0.3283029896
42	0.3268907187
43	0.3254584163
44	0.3239735761
45	0.322519144
46	0.3210597543
47	0.3196142674
48	0.3182590438
49	0.3168581713
50	0.3155327193
51	0.3141057918
52	0.3127238937
53	0.3113262546
54	0.3099248115
55	0.3085414172
56	0.3071993313
57	0.3058078256
58	0.3045412526
59	0.3032206445
60	0.3018996327
61	0.3005660878
62	0.2993198722
63	0.2979959031
64	0.296717299
65	0.295478614
66	0.294281354
67	0.2930196145
68	0.2917002945
69	0.2905436282
70	0.2892751878
71	0.2880907729
72	0.2868106023
73	0.2856585866
74	0.2844743552
75	0.2831557636
76	0.2819843859
77	0.2807369057
78	0.2795199851
79	0.2783528452
80	0.2771942322
81	0.2761127775
82	0.2750092131
83	0.2739008051
84	0.2728560179
85	0.2717596177
86	0.2707263715
87	0.2695489956
88	0.2684219548
89	0.2674008604
90	0.2663020789
91	0.2653039414
92	0.2641607683
93	0.2630498678
94	0.2620143759
95	0.2609413449
96	0.2598907845
97	0.258783552
98	0.2577929133
99	0.2567933788
100	0.2557477944
101	0.2546836567
102	0.2536390171
103	0.2526306822
104	0.2516354058
105	0.2506251727
106	0.2496690592
107	0.2487159151
108	0.2477680316
109	0.2468601336
110	0.2458973428
111	0.2449618735
112	0.24393446
113	0.2430143448
114	0.2421394611
115	0.2411692583
116	0.2402976768
117	0.239404835
118	0.2385643037
119	0.2376689936
120	0.2368474843
121	0.2359173976
122	0.2350574064
123	0.2342123433
124	0.2333684779
125	0.2325369972
126	0.2316990111
127	0.2308930473
128	0.2300196667
129	0.2291730247
130	0.2283403169
131	0.2274783446
132	0.2266940795
133	0.2259333966
134	0.2252034538
135	0.2243536309
136	0.2236278497
137	0.2228752757
138	0.2221044657
139	0.2213402153
140	0.2205998449
141	0.2198874403
142	0.2191485257
143	0.2183929172
144	0.2176923009
145	0.2169917672
