iter	Passed	Remaining
0	5	50321
1	9	46118
2	13	44858
3	17	43044
4	21	42141
5	24	41450
6	28	40763
7	32	40370
8	36	40049
9	39	39766
10	43	39621
11	47	39456
12	51	39307
13	55	39356
14	58	39269
15	62	39158
16	66	39014
17	70	38919
18	73	38832
19	77	38707
20	81	38622
21	85	38574
22	88	38587
23	92	38579
24	96	38542
25	100	38472
26	103	38402
27	107	38360
28	111	38331
29	114	37945
30	117	37650
31	119	37299
32	122	37026
33	125	36795
34	128	36527
35	131	36309
36	134	36303
37	138	36355
38	142	36363
39	145	36196
40	148	36000
41	151	35868
42	154	35882
43	157	35748
44	160	35613
45	163	35461
46	166	35355
47	169	35189
48	172	35064
49	175	34889
50	177	34710
51	180	34574
52	183	34412
53	186	34342
54	189	34214
55	192	34117
56	194	34008
57	197	33897
58	200	33837
59	203	33731
60	206	33631
61	209	33516
62	211	33408
63	214	33352
64	217	33259
65	220	33195
66	223	33121
67	226	33032
68	229	32970
69	232	32916
70	234	32841
71	237	32749
72	240	32684
73	243	32675
74	246	32619
75	249	32560
76	252	32485
77	254	32406
78	257	32364
79	260	32320
80	263	32272
81	266	32201
82	269	32147
83	271	32097
84	274	32029
85	277	31955
86	280	31906
87	282	31854
88	285	31848
89	288	31811
90	291	31763
91	294	31704
92	297	31679
93	300	31624
94	302	31573
95	305	31525
96	308	31479
97	311	31426
98	313	31376
99	316	31356
100	319	31303
101	322	31261
102	324	31222
103	327	31197
104	330	31151
105	333	31105
106	335	31054
107	338	31024
108	341	30991
109	344	30949
110	346	30902
111	349	30868
112	352	30839
113	355	30810
114	358	30795
115	360	30746
116	363	30704
117	366	30662
118	368	30631
119	371	30622
120	375	30628
121	378	30609
122	380	30592
123	383	30570
124	386	30539
125	389	30518
126	392	30480
127	394	30454
128	397	30428
129	400	30417
130	403	30407
131	406	30371
132	409	30355
133	411	30329
134	414	30303
135	417	30271
136	420	30245
137	422	30218
138	425	30202
139	428	30183
140	431	30170
141	434	30145
142	436	30119
143	439	30093
144	442	30066
145	445	30052
146	449	30108
147	452	30118
148	455	30105
149	458	30087
150	460	30068
151	464	30073
152	467	30062
153	470	30054
154	473	30053
155	475	30033
156	478	30005
157	481	29996
158	484	29985
159	487	29963
160	489	29940
161	492	29916
162	495	29893
163	498	29874
164	500	29855
165	503	29835
166	506	29825
167	509	29806
168	512	29789
169	514	29768
170	517	29751
171	520	29727
172	523	29711
173	525	29698
174	528	29678
175	531	29670
176	534	29656
177	537	29639
178	539	29625
179	542	29605
180	545	29581
181	548	29575
182	551	29578
183	554	29567
184	556	29550
185	559	29526
186	562	29510
187	565	29500
188	567	29479
189	570	29459
190	573	29444
191	576	29433
192	579	29425
193	581	29406
194	584	29394
195	587	29387
196	590	29365
197	592	29347
198	595	29340
199	598	29321
200	601	29305
201	603	29287
202	606	29269
203	609	29253
