iter	MultiClass
0	1.445127012
1	1.334868424
2	1.252588618
3	1.190247317
4	1.133569495
5	1.088678206
6	1.049726165
7	1.024990706
8	0.994097705
9	0.9709327597
10	0.9508666202
11	0.9334957591
12	0.9166963493
13	0.9033217376
14	0.8927008908
15	0.8783065404
16	0.8697150748
17	0.8599703101
18	0.8507473015
19	0.8414518072
20	0.8345380285
21	0.8267807143
22	0.8189435186
23	0.8122764326
24	0.8075859724
25	0.7991441654
26	0.7920179666
27	0.7875228974
28	0.7815837857
29	0.7794893669
30	0.7735215496
31	0.7682098536
32	0.7645340646
33	0.7630136287
34	0.7596556087
35	0.7573188366
36	0.7556444594
37	0.7524727516
38	0.7503552564
39	0.7495024409
40	0.7485244979
41	0.7473698899
42	0.7462481716
43	0.7453584852
44	0.7426237643
45	0.7410250325
46	0.7404903875
47	0.7385603699
48	0.7371121532
49	0.7352046189
50	0.733954992
51	0.7325515049
52	0.7318194595
53	0.7296944401
54	0.7289529319
55	0.7277171388
56	0.7267783085
57	0.7254917419
58	0.7240282544
59	0.7228847586
60	0.7217683876
61	0.721017001
62	0.7201148275
63	0.7192810252
64	0.7183751219
65	0.7176313502
66	0.7162771606
67	0.7157471773
68	0.7152012897
69	0.7145613162
70	0.7138231735
71	0.7128247487
72	0.7125207515
73	0.7115957471
74	0.7102939038
75	0.7097968796
76	0.7095264154
77	0.7087684231
78	0.7081659042
79	0.7076566403
80	0.7070619523
81	0.7061732216
82	0.7055431557
83	0.7051679778
84	0.7046661275
85	0.7042090789
86	0.7035529517
87	0.7033533396
88	0.7024022228
89	0.7020909417
90	0.7016586548
91	0.7011142673
92	0.7005894259
93	0.6999183375
94	0.6991042258
95	0.6988520963
96	0.6982143698
97	0.6972545609
98	0.6954252171
99	0.6949761838
100	0.6943891058
101	0.6935818435
102	0.6927994801
103	0.6921005419
104	0.6914938193
105	0.6908586004
106	0.69019384
107	0.6897024083
108	0.6893462048
109	0.6882142294
110	0.6879833126
111	0.6870279794
112	0.6865656308
113	0.6856585093
114	0.6854001919
115	0.6848216888
116	0.684318401
117	0.6840931787
118	0.683403515
119	0.6829627019
120	0.6824438687
121	0.6819267931
122	0.6814938908
123	0.6812161906
124	0.6804302033
125	0.6799864065
126	0.6794649937
127	0.679330568
128	0.6788336652
129	0.6782831265
130	0.677714776
131	0.6774092487
132	0.6767725942
133	0.6764109444
134	0.6762010965
135	0.6758190142
136	0.675353347
137	0.6747783961
138	0.6744242031
139	0.6743561601
140	0.6740198557
141	0.6735318082
142	0.6729760236
143	0.6723729449
144	0.6719980917
145	0.6716185508
146	0.6703783113
147	0.6698708317
148	0.6685537216
149	0.6682426566
150	0.6672169939
151	0.6669334513
152	0.6667426291
153	0.6664374113
154	0.6661065895
155	0.6658102103
156	0.6653300026
157	0.6650860131
158	0.6645986589
159	0.6640406245
160	0.663773403
161	0.6635303555
162	0.6632216674
163	0.6622117293
164	0.6618305164
165	0.6615387607
166	0.6612452289
167	0.6611494655
168	0.6609185473
169	0.6605548045
170	0.6602321526
171	0.6597892226
172	0.6593649857
173	0.6592194407
174	0.6587669629
175	0.6585372421
176	0.6577651038
177	0.6573278758
178	0.6570975454
179	0.6564838454
180	0.655790434
181	0.6551483289
182	0.6547435416
183	0.6544229754
184	0.6538059158
185	0.6528348196
186	0.6526922726
187	0.6521386163
188	0.6518577767
189	0.6516111117
190	0.6514554082
191	0.6509970614
192	0.650672669
193	0.6501549749
194	0.6498047019
195	0.6496791291
196	0.6494348741
197	0.6493334956
198	0.6489923779
199	0.6487473363
200	0.6484495819
201	0.6481980844
202	0.6479384449
203	0.6473195237
204	0.6468982569
205	0.6466476975
206	0.6463726886
207	0.6460601118
208	0.6457692997
209	0.6453919129
210	0.6452680971
211	0.644964591
212	0.644750751
213	0.6446603291
214	0.6444309903
215	0.6442058833
216	0.6436713017
217	0.6432030315
218	0.6425114216
219	0.6422420604
220	0.6418890396
221	0.6417757293
222	0.6414849069
223	0.6411233811
224	0.6407988497
225	0.6405006355
226	0.6404409733
227	0.6400050205
228	0.6395092421
229	0.6391460779
230	0.6388780188
231	0.6382461013
232	0.6379288652
233	0.6374122219
234	0.63706551
235	0.6369518058
236	0.6366975979
237	0.6364885653
238	0.6360358549
239	0.6358137811
240	0.6355791549
241	0.6351333801
242	0.6347292693
243	0.6345175472
244	0.6342693176
245	0.6339048118
246	0.633616071
247	0.6331466913
248	0.6329106619
249	0.6325089682
250	0.632333423
251	0.6320109336
252	0.6317204921
253	0.6314696598
254	0.6311491508
255	0.6308874547
256	0.6305479454
257	0.6302804844
258	0.6300708425
259	0.6298786225
260	0.6297575745
261	0.6296460901
262	0.6294076085
263	0.6292930236
264	0.6291617035
265	0.6291305153
266	0.6287335724
267	0.6284103679
268	0.6281791827
269	0.6280841336
270	0.6275413529
271	0.6272093076
272	0.6269737863
273	0.6264465164
274	0.6261581936
275	0.6259267352
276	0.6256807113
277	0.6250383811
278	0.6248223395
279	0.624683163
280	0.6245078576
281	0.6242091672
282	0.6241171837
283	0.6240084214
284	0.6236676585
285	0.6231402282
286	0.6225064268
287	0.6219303135
288	0.6217437226
289	0.6215566104
290	0.6214819769
291	0.6211545752
292	0.6208104822
293	0.6205565481
294	0.6201359308
295	0.6198148799
296	0.6189497807
297	0.6185579729
298	0.6183012954
299	0.618057398
300	0.6178460224
301	0.6177605531
302	0.6173977627
303	0.6172308681
304	0.6169737131
305	0.6168494922
306	0.6167102214
307	0.6164507321
308	0.6159396889
309	0.6157514956
310	0.6153517189
311	0.6147654869
312	0.6146281039
313	0.6145013818
314	0.613712459
315	0.6134423444
316	0.6133010606
317	0.6130886467
318	0.6129262281
319	0.6128648628
320	0.6125265082
321	0.6121801419
322	0.6119524255
323	0.611818377
324	0.6113766674
325	0.6111961704
326	0.6109478395
327	0.6101362188
328	0.6098910762
329	0.6094884085
330	0.609119342
331	0.60888438
332	0.6087437762
333	0.608331478
334	0.6078203028
335	0.6075874116
336	0.6070860947
337	0.6069793731
338	0.6065414264
339	0.6062471692
340	0.6061870121
341	0.6056633603
342	0.6054465657
343	0.6052128948
344	0.6048851345
345	0.6047035199
346	0.6040681577
347	0.6037613821
348	0.6037207773
349	0.6036162207
350	0.6034194555
351	0.6027860644
352	0.602653932
353	0.6022894292
354	0.6019605379
355	0.6016940792
356	0.601413939
357	0.60135812
358	0.6012049119
359	0.6010639406
360	0.6008241154
361	0.6005975103
362	0.6002382906
363	0.5999620631
364	0.5995324003
365	0.5993424703
366	0.5991232656
367	0.5988885847
368	0.5986221153
369	0.5984134978
370	0.5980336604
371	0.597887384
372	0.5975519488
373	0.5974057167
374	0.597256958
375	0.5969448482
376	0.5965380865
377	0.5960952072
378	0.5957881269
379	0.5954927383
380	0.5949949145
381	0.5947406086
382	0.594461861
383	0.5942442945
384	0.5941569069
385	0.5937295717
386	0.593522423
387	0.5932304799
388	0.5927937051
389	0.5927078946
390	0.5925230278
391	0.5923524968
392	0.5921112573
393	0.5919446113
394	0.591707656
395	0.5914779675
396	0.5911049713
397	0.5906026431
398	0.5902637902
399	0.5901254212
400	0.5897393003
401	0.5895899302
402	0.5894853839
403	0.5893726799
404	0.5890109393
405	0.5888961746
406	0.5885360892
407	0.5880954971
408	0.5878928472
409	0.5875681146
410	0.587421279
411	0.5872161405
412	0.5868697955
413	0.5866692657
414	0.5862136976
415	0.5859820857
416	0.5858364217
417	0.5854756362
418	0.5850319976
419	0.5844901808
420	0.5842829304
421	0.5837354577
422	0.5833279235
423	0.5828655387
424	0.5825313763
425	0.5824347993
426	0.5822952605
427	0.5820970239
428	0.5816808508
429	0.5814086419
430	0.5812302615
431	0.5810148838
432	0.58061652
433	0.580235636
434	0.5799519077
435	0.5793878496
436	0.5788935304
437	0.5786675718
438	0.578507398
439	0.578328454
440	0.5780486672
441	0.577839402
442	0.5775591743
443	0.577402954
444	0.577086562
445	0.576968715
446	0.576829207
447	0.5766272564
448	0.5765383619
449	0.5762267622
450	0.5760409331
451	0.5759357736
452	0.5756074537
453	0.5753875934
454	0.5749406325
455	0.5747440268
456	0.5743004497
457	0.5740064385
458	0.573681767
459	0.5732681942
460	0.5728798259
461	0.5726452433
462	0.5722753338
463	0.5721079801
464	0.5719233184
465	0.5716966063
466	0.5716117559
467	0.5711971148
468	0.5707438533
469	0.5702078872
470	0.5701135552
471	0.569938993
472	0.5696678376
473	0.569406087
474	0.5690585402
475	0.5689037307
476	0.568696314
477	0.5683791968
478	0.5681608955
479	0.5679294067
480	0.5676203416
481	0.5672727523
482	0.5670413047
483	0.566744723
484	0.5665752985
485	0.5663531458
486	0.566062997
487	0.5655593721
488	0.5652791151
489	0.5651430699
490	0.5649341836
491	0.5648395144
492	0.564714533
493	0.5643337721
494	0.5639721908
495	0.5637588103
496	0.563470658
497	0.5630101892
498	0.5626578554
499	0.5624688051
500	0.5621847361
501	0.5620572975
502	0.5616641379
503	0.5613846335
504	0.561086275
505	0.5607933217
506	0.5604357472
507	0.5599992819
508	0.55993579
509	0.5598118022
510	0.5597363376
511	0.5595026822
512	0.5592984777
513	0.5592364459
514	0.5589997616
515	0.5588020005
516	0.5583575833
517	0.5581874697
518	0.5578108084
519	0.5576812431
520	0.5574391098
521	0.5573134842
522	0.5571025311
523	0.5567492149
524	0.5565341819
525	0.5564016442
526	0.5561647743
527	0.5559696503
528	0.5555226044
529	0.5554064577
530	0.5553211821
531	0.5549592954
532	0.5547884444
533	0.5545447223
534	0.5541505311
535	0.5537548316
536	0.5533736978
537	0.5531328151
538	0.5530741598
539	0.5528431497
540	0.5525992895
541	0.5521328616
542	0.5518484921
543	0.5516172261
544	0.5513145477
545	0.5509275082
546	0.5506336327
547	0.5503967513
548	0.5502388759
549	0.5501314713
550	0.5499162539
551	0.5497384241
552	0.549470675
553	0.5492480548
554	0.5488363652
555	0.5486171513
556	0.5484767079
557	0.5483444591
558	0.5481774999
559	0.5479579149
560	0.5477726923
561	0.5474961856
562	0.5471409695
563	0.5469452698
564	0.5468146266
565	0.5466578083
566	0.5463011018
567	0.5460662067
568	0.5459946101
569	0.5456645238
570	0.5454993036
571	0.545125612
572	0.5449799273
573	0.544870618
574	0.5446403042
575	0.5444510798
576	0.5441610404
577	0.5437163602
578	0.5436454076
579	0.5434714765
580	0.5433350781
581	0.5432183901
582	0.5428070109
583	0.5426895031
584	0.5424963691
585	0.5424343833
586	0.5422695502
587	0.5420308114
588	0.5417045548
589	0.5413737271
590	0.5412195009
591	0.5408238266
592	0.5406772057
593	0.5404678622
594	0.5399644688
595	0.5397747016
596	0.5394863976
597	0.5391742588
598	0.5390678062
599	0.538979517
600	0.5386925888
601	0.5385896853
602	0.5382966382
603	0.5380719331
604	0.5379000562
605	0.5377429558
606	0.5375961726
607	0.5370711569
608	0.5369115798
609	0.5367140315
610	0.5364393377
611	0.5361114643
612	0.5359682297
613	0.5357127793
614	0.535460609
615	0.535354383
616	0.5350678631
617	0.534739252
618	0.5344923949
619	0.5344089484
620	0.5339733984
621	0.53379757
622	0.5335655451
623	0.5332692535
624	0.533082558
625	0.5329206042
626	0.5327037984
627	0.5325761534
628	0.532441179
629	0.5319469934
630	0.5318272589
631	0.5315151193
632	0.5313073144
633	0.5309121991
634	0.5306020454
635	0.5305236224
636	0.5303268849
637	0.5300446101
638	0.5298706344
639	0.5297040315
640	0.5294734728
641	0.5293121957
642	0.5290434416
643	0.5286802122
644	0.5284069314
645	0.5283430564
646	0.5280278011
647	0.5278654606
648	0.5277139222
649	0.5272646002
650	0.5271450128
651	0.5269303462
652	0.5267707363
653	0.5265830941
654	0.5260505593
655	0.5259088397
656	0.5257415624
657	0.5255674532
